team,RK,Total Points,GK_score,def_score,mid_score,off_score
Brazil,1,1841.3,89.0,85.0,86.0,86.0
Belgium,2,1816.71,89.0,81.0,86.0,86.0
Argentina,3,1773.88,84.0,82.0,84.0,89.0
France,4,1759.78,87.0,84.0,87.0,88.0
England,5,1728.47,83.0,85.0,84.0,88.0
Spain,7,1715.22,84.0,86.0,86.0,85.0
Netherlands,8,1694.51,81.0,85.0,84.0,83.0
Portugal,9,1676.56,82.0,85.0,84.0,86.0
Denmark,10,1666.57,85.0,80.0,80.0,78.0
Germany,11,1650.21,90.0,84.0,88.0,83.0
Croatia,12,1645.64,82.0,78.0,84.0,77.0
Mexico,13,1644.89,80.0,77.0,78.0,83.0
Uruguay,14,1638.71,80.0,81.0,80.0,84.0
Switzerland,15,1635.92,85.0,78.0,80.0,77.0
USA,16,1627.48,77.0,76.0,76.0,78.0
Senegal,18,1584.38,83.0,79.0,79.0,81.0
Wales,19,1569.82,74.0,75.0,78.0,73.0
IR Iran,20,1564.61,73.0,69.0,69.0,75.0
Serbia,21,1563.62,80.0,76.0,82.0,80.0
Morocco,22,1563.5,82.0,81.0,76.0,82.0
Japan,24,1559.54,73.0,75.0,78.0,75.0
Poland,26,1548.59,87.0,75.0,76.0,85.0
Korea Republic,28,1530.3,75.0,73.0,74.0,80.0
Tunisia,30,1507.54,64.0,71.0,74.0,72.0
Costa Rica,31,1503.59,88.0,72.0,69.0,70.0
Australia,38,1488.72,77.0,72.0,74.0,72.0
Canada,41,1475.0,76.0,69.0,78.0,73.0
Cameroon,43,1471.44,67.0,77.0,75.0,78.0
Ecuador,44,1464.39,71.0,74.0,74.0,76.0
Qatar,50,1439.89,65.0,65.0,65.0,65.0
Saudi Arabia,51,1437.78,70.0,73.0,73.0,68.0
Ghana,61,1393.0,74.0,76.0,78.0,76.0
